Tsunami,Name,Latitude,Longitude,Depth,Magnitude,Date,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
1,ALASKA: PRINCE WILLIAM SOUND,60.5,-149.0,60.0,6.9,1911-09-22,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ITALY: ETNA,37.7,15.2,1.0,4.3,1911-10-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,MEXICO: NEAR COAST OF GUERRERO,17.0,-100.7,50.0,7.6,1911-12-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,GREECE: ASPROGERAKAS (KEPHALLENIA),38.0,20.5,60.0,7.0,1912-01-24,100.0,0.0,0.0,0.0,0.0,0.0
0.0,ICELAND,64.0,-20.0,60.0,7.5,1912-05-06,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"MYANMAR (BURMA): MANDALAY, MOGOK, MAYMYO",21.0,97.0,25.0,8.0,1912-05-23,50.0,0.0,0.0,12500000.0,0.0,0.0
0.0,"PERU: HUANCABAMBA,CAJAMARCA; ECUADOR: GUAYAQUIL",-5.62,-80.413,30.0,7.0,1912-07-24,1000.0,0.0,1000.0,12500000.0,1000.0,0.0
1,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7.0,138.0,33.0,6.9,1912-10-31,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ALASKA: ALASKA PENINSULA,57.5,-155.0,90.0,7.5,1912-11-07,0.0,0.0,0.0,0.0,0.0,0.0
1,TASMAN SEA,-41.8,171.5,33.0,6.8,1913-02-22,0.0,0.0,0.0,500000.0,50.0,0.0
0.0,"ECUADOR: GONZANAMA, SAN PEDRO, MOLLETURE",-3.4,-79.6,50.0,7.7,1913-02-24,1000.0,0.0,0.0,12500000.0,1000.0,0.0
1,INDONESIA: SANGIHE ISLAND,5.354,126.12100000000001,15.0,7.8,1913-03-14,1138.0,0.0,100.0,2500000.0,1000.0,0.0
1,PERU: AREQUIPA,-16.6,-73.3,30.0,7.0,1913-07-28,0.0,0.0,0.0,500000.0,0.0,0.0
1,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17.0,-74.0,33.0,7.9,1913-08-06,100.0,0.0,0.0,12500000.0,1000.0,3.0
0.0,"PERU: AMYARAES, ABANCAY, CASAYA, SORAYA",-14.2,-72.9,10.0,6.3,1913-11-04,1150.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,CHINA: YUNNAN PROVINCE,24.15,102.45,10.0,7.0,1913-12-21,1942.0,0.0,1112.0,12500000.0,5000.0,0.0
1,INDONESIA: NEW GUINEA: IRIAN JAYA: JAPEN,-1.829,136.94299999999998,15.0,8.1,1914-05-26,1000.0,0.0,0.0,2500000.0,1000.0,0.0
0.0,ECUADOR: MONTE PULLERINA,-0.2,-78.2,10.0,5.8,1914-05-31,0.0,0.0,0.0,0.0,0.0,0.0
1,GREECE: LEUKAS ISLAND,38.8,20.6,30.0,6.3,1914-11-27,64.0,0.0,0.0,12500000.0,1000.0,100.0
0.0,"ITALY: MARSICA, AVEZZANO, ABRUZZI",42.0,13.5,10.0,7.5,1915-01-13,34978.0,0.0,0.0,27500060.0,0.0,0.0
0.0,RUSSIA: OFF KAMCHATKA,53.5,163.3,20.0,7.3,1915-07-31,0.0,0.0,0.0,0.0,0.0,0.0
1,"GREECE: KEFALLONIA ISLAND, ITHACA ISLAND",38.5,20.7,14.0,6.7,1915-08-07,0.0,0.0,0.0,12500000.0,1000.0,100.0
0.0,DOMINICAN REPUBLIC: SANTO DOMINIGO,18.5,-68.0,80.0,7.2,1916-04-24,0.0,0.0,0.0,500000.0,0.0,0.0
1,"PANAMA: ALMIRANTE, BOCAS DEL TORO",9.6,-82.0,25.0,7.0,1916-04-26,0.0,0.0,0.0,500000.025,0.0,0.0
0.0,BALKANS NW: SLOVENIA: GORNJI GRAD,46.3,14.6,11.0,4.9,1916-10-28,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,BALKANS NW: SLOVENIA: BREZICE,45.9,15.6,13.0,5.6,1917-01-29,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,ITALY: CITERNA,43.5,12.1,33.0,5.5,1917-04-26,0.0,0.0,0.0,0.0,0.0,0.0
0.0,CHINA: YUNNAN PROVINCE,28.0,104.0,33.0,6.8,1917-07-30,6800.0,0.0,0.0,27500000.0,5000.0,0.0
0.0,"COLOMBIA: BOGOTA, UBAQUE, SOACHA, CAQUEZA",4.0,-74.0,40.0,7.3,1917-08-31,56.0,0.0,100.0,500000.0,50.0,0.0
0.0,PHILIPPINES: MINDANAO,6.5,126.5,120.0,7.5,1918-02-07,0.0,0.0,0.0,0.0,0.0,0.0
1,CHINA: GUANGDONG PROVINCE,23.5,117.2,23.0,7.3,1918-02-13,7000.0,0.0,5000.0,27500000.0,5000.0,0.0
1,PHILIPPINES: MINDANAO: COTABATO,5.5,123.0,33.0,8.3,1918-08-15,96.0,0.0,0.0,12500000.0,0.0,0.0
1,PUERTO RICO: MONA PASSAGE,18.5,-67.5,60.0,7.3,1918-10-11,1000.0,0.0,0.0,2500004.0,0.0,0.0
1,PHILIPPINES: MINDANAO ISLAND,8.0,126.0,33.0,7.4,1919-01-01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ITALY: N,44.0,11.5,33.0,6.2,1919-06-29,0.0,0.0,0.0,0.0,0.0,0.0
1,ITALY: TYRRHENIAN SEA,41.4,12.6,10.0,5.6,1919-10-22,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"ITALY: CARRARA,GARFAGNANA",44.3,10.3,10.0,5.8,1920-09-07,6400.0,0.0,0.0,0.0,0.0,0.0
