Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
1915,1,13,,,"ITALY: MARSICA, AVEZZANO, ABRUZZI",42,13.5,10,7.5,29978,4,,,,,60,4,,,,
1915,7,31,,,RUSSIA: OFF KAMCHATKA,53.5,163.3,20,7.3,,,,,,,,,,,,
1915,8,7,Tsu,,"GREECE: KEFALLONIA ISLAND, ITHACA ISLAND",38.5,20.7,14,6.7,,,,,,,,3,,3,,2
1916,4,24,,,DOMINICAN REPUBLIC: SANTO DOMINIGO,18.5,-68,80,7.2,,,,,,,,1,,,,
1916,4,26,Tsu,,"PANAMA: ALMIRANTE, BOCAS DEL TORO",9.6,-82,25,7,,,,,,,0.025,1,,,,
1916,10,28,,,BALKANS NW: SLOVENIA: GORNJI GRAD,46.3,14.6,11,4.9,,,,,,,,2,,,,
1917,1,29,,,BALKANS NW: SLOVENIA: BREZICE,45.9,15.6,13,5.6,,,,,,,,3,,,,
1917,4,26,,,ITALY: CITERNA,43.5,12.1,33,5.5,,,,,,,,,,,,
1917,7,30,,,CHINA: YUNNAN PROVINCE,28,104,33,6.8,1800,4,,,,,,4,,4,,
1917,8,31,,,"COLOMBIA: BOGOTA, UBAQUE, SOACHA, CAQUEZA",4,-74,40,7.3,6,1,,,,2,,1,,1,,
1918,2,7,,,PHILIPPINES: MINDANAO,6.5,126.5,120,7.5,,,,,,,,,,,,
